number,company_id
2 23047XXX,5
2 23048XXX,5
2 23049XXX,5
2 23050XXX,6
2 23051XXX,6
2 23052XXX,6
2 23053XXX,6
2 23060XXX,2
2 23061XXX,2
2 23062XXX,2
2 23063XXX,2
2 23064XXX,2
2 23065XXX,2
2 23066XXX,2
2 23067XXX,2
2 23068XXX,2
2 23069XXX,2
2 23070XXX,2
2 23071XXX,2
2 23072XXX,2
2 23073XXX,2
2 23074XXX,2
2 23075XXX,2
2 23076XXX,2
2 23077XXX,2
2 23078XXX,2
2 23079XXX,2
2 23078XXX,2
2 23079XXX,2
2 23080XXX,4
2 23081XXX,4
2 23082XXX,4
2 23083XXX,4
2 23084XXX,4
2 23085XXX,4
2 23086XXX,4
2 23087XXX,4
2 23088XXX,4
2 23089XXX,4
2 23093XXX,4
2 23099XXX,7
2 23100XXX,6
2 23101XXX,6
2 23102XXX,6
2 23103XXX,6
2 23104XXX,6
2 23105XXX,6
2 23106XXX,6
2 23107XXX,6
2 23108XXX,6
2 23109XXX,6
2 23110XXX,6
2 23111XXX,6
2 23112XXX,6
2 23113XXX,6
2 23114XXX,6
2 23115XXX,6
2 23116XXX,6
2 23117XXX,6
2 23118XXX,6
2 23119XXX,6
2 23120XXX,6
2 23121XXX,6
2 23122XXX,6
2 23123XXX,6
2 23124XXX,6
2 23125XXX,6
2 23126XXX,6
2 23127XXX,6
2 23128XXX,6
2 23129XXX,6
2 23130XXX,6
2 23131XXX,6
2 23132XXX,6
2 23133XXX,6
2 23134XXX,6
2 23135XXX,6
2 23136XXX,6
2 23137XXX,6
2 23138XXX,6
2 23139XXX,6
2 23140XXX,6
2 23141XXX,6
2 23142XXX,6
2 23143XXX,6
2 23144XXX,6
2 23145XXX,6
2 23146XXX,6
2 23147XXX,6
2 23148XXX,6
2 23149XXX,6
2 23150XXX,6
2 23151XXX,6
2 23152XXX,6
2 23153XXX,6
2 23154XXX,6
2 23155XXX,6
2 23156XXX,6
2 23157XXX,6
2 23158XXX,6
2 23159XXX,6
2 23160XXX,6
2 23161XXX,6
2 23162XXX,6
2 23163XXX,6
2 23164XXX,6
2 23165XXX,6
2 23166XXX,6
2 23167XXX,6
2 23168XXX,6
2 23169XXX,6
2 23170XXX,6
2 23171XXX,6
2 23172XXX,6
2 23173XXX,6
2 23174XXX,6
2 23175XXX,6
2 23176XXX,6
2 23177XXX,6
2 23178XXX,6
2 23179XXX,6
2 23180XXX,6
2 23181XXX,6
2 23182XXX,6
2 23183XXX,6
2 23184XXX,6
2 23185XXX,6
2 23186XXX,6
2 23187XXX,6
2 23188XXX,6
2 23189XXX,6
2 23190XXX,6
2 23191XXX,6
2 23192XXX,6
2 23193XXX,6
2 23194XXX,6
2 23195XXX,6
2 23196XXX,6
2 23197XXX,6
2 23198XXX,6
2 23199XXX,6
2 23200XXX,1
2 23201XXX,1
2 23202XXX,1
2 23203XXX,1
2 23204XXX,1
2 23205XXX,1
2 23206XXX,1
2 23207XXX,1
2 23208XXX,1
2 23209XXX,1
2 23210XXX,1
2 23211XXX,1
2 23212XXX,1
2 23213XXX,1
2 23214XXX,1
2 23215XXX,1
2 23216XXX,1
2 23217XXX,1
2 23218XXX,1
2 23219XXX,1
2 23220XXX,1
2 23221XXX,1
2 23222XXX,1
2 23223XXX,1
2 23224XXX,1
2 23225XXX,1
2 23226XXX,1
2 23227XXX,1
2 23228XXX,1
2 23229XXX,1
2 23230XXX,6
2 23231XXX,6
2 23232XXX,6
2 23233XXX,6
2 23234XXX,6
2 23235XXX,6
2 23236XXX,6
2 23237XXX,6
2 23238XXX,6
2 23239XXX,6
2 23240XXX,6
2 23241XXX,6
2 23242XXX,6
2 23243XXX,6
2 23244XXX,6
2 23245XXX,6
2 23246XXX,6
2 23247XXX,6
2 23248XXX,6
2 23249XXX,6
2 23250XXX,6
2 23251XXX,6
2 23252XXX,6
2 23253XXX,6
2 23254XXX,6
2 23255XXX,6
2 23256XXX,6
2 23257XXX,6
2 23258XXX,6
2 23259XXX,6
2 23260XXX,6
2 23261XXX,6
2 23262XXX,6
2 23263XXX,6
2 23264XXX,6
2 23265XXX,6
